observation_id,indicator_id,geography_id,time_start,time_end,frequency,value_numeric,unit,claim_type,provenance_id,suppressed,comparable,methodology_version,price_basis,notes
chirpsobs_005a6897cf5727f3744df41d,annual_rainfall,idn.13.1371,1999-01-01,1999-12-31,annual,4661.824055,millimetres,model_estimate,chirpsprov_8c3023760d15fbc35862fcc4,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=0.99912533; mean_valid_area_fraction=0.99912533; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_00a31b5c6e89dea909081aff,annual_rainfall,idn.13.1375,1987-01-01,1987-12-31,annual,2076.119893,millimetres,model_estimate,chirpsprov_7c2bd4ffc29c3c1f203409a0,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_0177e264a191b22a8376a114,annual_rainfall,idn.13.1312,2007-01-01,2007-12-31,annual,4076.647290,millimetres,model_estimate,chirpsprov_d583a73735d084b8b2496aa8,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_01a29219124465bd89508057,annual_rainfall,idn.13.1304,2015-01-01,2015-12-31,annual,2157.561188,millimetres,model_estimate,chirpsprov_b12d5727b3360f9d0d1cfcbb,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_01d7c21889be3e0aa4b37257,annual_rainfall,idn.13.1309,2007-01-01,2007-12-31,annual,3708.364216,millimetres,model_estimate,chirpsprov_d583a73735d084b8b2496aa8,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_02a8c64413523a7af3f0b80d,annual_rainfall,idn.13.1306,2018-01-01,2018-12-31,annual,4146.259922,millimetres,model_estimate,chirpsprov_c8030a113fbc38a4dd14a894,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=0.99993254; mean_valid_area_fraction=0.99993254; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_02d04cabf65e2ed1e8ca779f,annual_rainfall,idn.13.1308,1983-01-01,1983-12-31,annual,2349.989476,millimetres,model_estimate,chirpsprov_5887a41b20f86613f9be9d94,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_02f610f0a0ae1aee26b50ba4,annual_rainfall,idn.13.1312,2023-01-01,2023-12-31,annual,3782.060938,millimetres,model_estimate,chirpsprov_6f7cb8097bed96485afd3cd3,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_033ea4f609d7e798f6ecd0a5,annual_rainfall,idn.13.1309,1994-01-01,1994-12-31,annual,2195.190007,millimetres,model_estimate,chirpsprov_1ad925e050f99158259f45a8,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_03632b653a7909f5524a0b0f,annual_rainfall,idn.13.1372,2015-01-01,2015-12-31,annual,2350.489297,millimetres,model_estimate,chirpsprov_b12d5727b3360f9d0d1cfcbb,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_036ebe4522011ebff1faef17,annual_rainfall,idn.13.1312,2013-01-01,2013-12-31,annual,4124.222493,millimetres,model_estimate,chirpsprov_5b65845f0a067c46b1ff4bb4,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_0448912a5f5a2d57af63f11f,annual_rainfall,idn.13.1377,2006-01-01,2006-12-31,annual,3550.697276,millimetres,model_estimate,chirpsprov_33c1360517abf4405894a6a4,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=0.99901085; mean_valid_area_fraction=0.99901085; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_04c08c649be9eced7927f836,annual_rainfall,idn.13.1303,2015-01-01,2015-12-31,annual,2163.649621,millimetres,model_estimate,chirpsprov_b12d5727b3360f9d0d1cfcbb,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_054e5617ef4ea22557416927,annual_rainfall,idn.13.1377,1984-01-01,1984-12-31,annual,4831.861099,millimetres,model_estimate,chirpsprov_105560bf68b24142847709fb,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=0.99901085; mean_valid_area_fraction=0.99901085; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_05b017aedbaeff68dd4029c3,annual_rainfall,idn.13.1376,2017-01-01,2017-12-31,annual,2726.317912,millimetres,model_estimate,chirpsprov_dccafa903dab232b9aad0bd5,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_05d00e22a015e4f0e62cdf2c,annual_rainfall,idn.13.1371,1985-01-01,1985-12-31,annual,3520.520486,millimetres,model_estimate,chirpsprov_245a0c829b03c3b0747fd994,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=0.99912533; mean_valid_area_fraction=0.99912533; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_06813cd9bbd4e319bbb4e982,annual_rainfall,idn.13.1303,1993-01-01,1993-12-31,annual,2087.147098,millimetres,model_estimate,chirpsprov_0b1431dfbfc76cd87c567ea3,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_06898a41bf8b080b0bf975a3,annual_rainfall,idn.13.1309,1993-01-01,1993-12-31,annual,2957.568763,millimetres,model_estimate,chirpsprov_0b1431dfbfc76cd87c567ea3,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_0690a3871ddb27a9bcca5e3e,annual_rainfall,idn.13.1302,2016-01-01,2016-12-31,annual,3233.085820,millimetres,model_estimate,chirpsprov_bdfc0cb4713e768353b0af59,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=0.99990289; mean_valid_area_fraction=0.99990289; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_07110913f8566b7c126c0306,annual_rainfall,idn.13.1373,2010-01-01,2010-12-31,annual,3505.157323,millimetres,model_estimate,chirpsprov_6d539a98f8e70f0f921b9fea,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_0721bb3d335f00fd05866897,annual_rainfall,idn.13.1305,1990-01-01,1990-12-31,annual,2287.475940,millimetres,model_estimate,chirpsprov_8a1debf06ff2601da517ede7,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_0747bb680855749ad8ecf2f4,annual_rainfall,idn.13.1308,1990-01-01,1990-12-31,annual,2458.497394,millimetres,model_estimate,chirpsprov_8a1debf06ff2601da517ede7,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_0756dc08d5a08a3c55970adc,annual_rainfall,idn.13.1303,2014-01-01,2014-12-31,annual,2530.897057,millimetres,model_estimate,chirpsprov_b4a99eb15560b1d88e757010,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_08965b89fa4d0b9f69d2d3ec,annual_rainfall,idn.13.1307,2014-01-01,2014-12-31,annual,2902.674174,millimetres,model_estimate,chirpsprov_b4a99eb15560b1d88e757010,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_089ddcc2a794fde98914b65b,annual_rainfall,idn.13.1304,1989-01-01,1989-12-31,annual,2833.835124,millimetres,model_estimate,chirpsprov_dce3ffaedc1a899d204a1612,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_09a85881d6363048d974fbc1,annual_rainfall,idn.13.1311,1985-01-01,1985-12-31,annual,3259.029249,millimetres,model_estimate,chirpsprov_245a0c829b03c3b0747fd994,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_0a17bd2c52ec68c7f32259b9,annual_rainfall,idn.13.1376,1997-01-01,1997-12-31,annual,1012.170461,millimetres,model_estimate,chirpsprov_549fb51b47f3004dd71af8d7,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_0b4c456f782d774d0b582c3f,annual_rainfall,idn.13.1312,2020-01-01,2020-12-31,annual,3748.958598,millimetres,model_estimate,chirpsprov_869749660f299278b4209870,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_0bce9670809febc981c73b9d,annual_rainfall,idn.13.1375,2012-01-01,2012-12-31,annual,2517.870684,millimetres,model_estimate,chirpsprov_bf295e30ff22919e667a8443,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_0c55a2ffedcd5dd30710f952,annual_rainfall,idn.13.1373,2024-01-01,2024-12-31,annual,3282.380943,millimetres,model_estimate,chirpsprov_80f1b34a386a8dd06869ba96,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_0cb4475cb53ab85eeefbc80b,annual_rainfall,idn.13.1377,2008-01-01,2008-12-31,annual,4425.920960,millimetres,model_estimate,chirpsprov_ed07e8adb20331297fea22e4,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=0.99901085; mean_valid_area_fraction=0.99901085; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_0d7b19f87cd0f7b3a6e74b6b,annual_rainfall,idn.13.1304,2000-01-01,2000-12-31,annual,2955.734672,millimetres,model_estimate,chirpsprov_fc3b6aa57f2d9a4e61b62b31,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_0d9c62c08237d882d5dd28a1,annual_rainfall,idn.13.1301,2016-01-01,2016-12-31,annual,3740.186367,millimetres,model_estimate,chirpsprov_bdfc0cb4713e768353b0af59,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=0.99877921; mean_valid_area_fraction=0.99877921; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_0db85c74a833a14feea01b89,annual_rainfall,idn.13.1302,1995-01-01,1995-12-31,annual,2715.209733,millimetres,model_estimate,chirpsprov_9ff2f7a1dfcae20618823751,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=0.99990289; mean_valid_area_fraction=0.99990289; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_0e392d73034f5baefd4ba39c,annual_rainfall,idn.13.1310,2007-01-01,2007-12-31,annual,2936.950858,millimetres,model_estimate,chirpsprov_d583a73735d084b8b2496aa8,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_0fa782066fd58ca787727321,annual_rainfall,idn.13.1306,2020-01-01,2020-12-31,annual,4146.372331,millimetres,model_estimate,chirpsprov_869749660f299278b4209870,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=0.99993254; mean_valid_area_fraction=0.99993254; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_101fa357a039a6e12c18afbd,annual_rainfall,idn.13.1311,1982-01-01,1982-12-31,annual,2213.879788,millimetres,model_estimate,chirpsprov_d76928f82e8715e9e28c66e3,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_10d25dc09541b201ce92905b,annual_rainfall,idn.13.1375,2018-01-01,2018-12-31,annual,2342.492157,millimetres,model_estimate,chirpsprov_c8030a113fbc38a4dd14a894,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_1121a7b91e5a63c1d152d7f3,annual_rainfall,idn.13.1301,2014-01-01,2014-12-31,annual,3259.184370,millimetres,model_estimate,chirpsprov_b4a99eb15560b1d88e757010,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=0.99877921; mean_valid_area_fraction=0.99877921; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_12f49ac3ba5113b05e0005f8,annual_rainfall,idn.13.1307,1987-01-01,1987-12-31,annual,3004.890662,millimetres,model_estimate,chirpsprov_7c2bd4ffc29c3c1f203409a0,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_12fbda2bbf5674e65d156563,annual_rainfall,idn.13.1311,2025-01-01,2025-12-31,annual,3815.589208,millimetres,model_estimate,chirpsprov_895a16cb21d7cc63ddc0f299,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=1.00000000; mean_valid_area_fraction=1.00000000; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
chirpsobs_13128fa54f2703d33ef2233a,annual_rainfall,idn.13.1377,2013-01-01,2013-12-31,annual,4632.414056,millimetres,model_estimate,chirpsprov_5b65845f0a067c46b1ff4bb4,false,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,spatial_frame=fixed_current_boundary_june_2026; historical_boundary_continuity=false; months_complete=12; min_valid_area_fraction=0.99901085; mean_valid_area_fraction=0.99901085; source_product=CHIRPS v3 Final monthly; geometry_source=BIG BATAS_KABKOTA_AR; geometry_source_edition=Juni 2026; observed_station_equivalence=false; comparability_scope=within_CHIRPS_v3_Final_fixed_current_boundary_frame; independent_station_validation=pending
