observation_id,indicator_id,geography_id,time_start,time_end,frequency,value_numeric,unit,claim_type,provenance_id,suppressed,comparable,methodology_version,price_basis,notes
bpbdimpactobs_e96600b3b769485577f7b992,bridges_affected,idn.13.1301,2024-01-01,2024-12-31,annual,0,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1301; source_geography_name=KABUPATEN KEPULAUAN MENTAWAI; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_36874004d5946f5aca7951a4,bridges_affected,idn.13.1302,2024-01-01,2024-12-31,annual,19,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1302; source_geography_name=KABUPATEN PESISIR SELATAN; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_a78805168ccfc8bf98e66980,bridges_affected,idn.13.1303,2024-01-01,2024-12-31,annual,0,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1303; source_geography_name=KABUPATEN SOLOK; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_cc6e04ea39d88582686ca559,bridges_affected,idn.13.1304,2024-01-01,2024-12-31,annual,4,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1304; source_geography_name=KABUPATEN SIJUNJUNG; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_d690870bc9fdd87f4c4a7a4a,bridges_affected,idn.13.1305,2024-01-01,2024-12-31,annual,28,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1305; source_geography_name=KABUPATEN TANAH DATAR; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_5660e3654da95f707fec517b,bridges_affected,idn.13.1306,2024-01-01,2024-12-31,annual,49,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1306; source_geography_name=KABUPATEN PADANG PARIAMAN; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_5385e3718ac9260a41ee2ecd,bridges_affected,idn.13.1307,2024-01-01,2024-12-31,annual,23,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1307; source_geography_name=KABUPATEN AGAM; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_21313c9d855379545d813be4,bridges_affected,idn.13.1308,2024-01-01,2024-12-31,annual,2,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1308; source_geography_name=KABUPATEN LIMA PULUH KOTA; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_8467fda633791f403b9d337f,bridges_affected,idn.13.1309,2024-01-01,2024-12-31,annual,1,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1309; source_geography_name=KABUPATEN PASAMAN; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_5ffdd49536be086ea0686b67,bridges_affected,idn.13.1310,2024-01-01,2024-12-31,annual,11,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1310; source_geography_name=KABUPATEN SOLOK SELATAN; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_e9045f379b5770b0fc5cf5af,bridges_affected,idn.13.1311,2024-01-01,2024-12-31,annual,4,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1311; source_geography_name=KABUPATEN DHARMASRAYA; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_477b95260fbfe1a4cef27f13,bridges_affected,idn.13.1312,2024-01-01,2024-12-31,annual,11,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1312; source_geography_name=KABUPATEN PASAMAN BARAT; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_1675e98664ca31d9aae50c19,bridges_affected,idn.13.1371,2024-01-01,2024-12-31,annual,1,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1371; source_geography_name=KOTA PADANG; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_770f3e74cf1dc7fa64b4603d,bridges_affected,idn.13.1372,2024-01-01,2024-12-31,annual,0,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1372; source_geography_name=KOTA SOLOK; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_58d42e17bce0bd25c7a0d195,bridges_affected,idn.13.1373,2024-01-01,2024-12-31,annual,0,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1373; source_geography_name=KOTA SAWAHLUNTO; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_62c977bd16ee6151053c1b9f,bridges_affected,idn.13.1374,2024-01-01,2024-12-31,annual,0,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1374; source_geography_name=KOTA PADANG PANJANG; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_165ca8404e44bbad2e6b7039,bridges_affected,idn.13.1375,2024-01-01,2024-12-31,annual,0,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1375; source_geography_name=KOTA BUKITTINGGI; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_e54d067af1bbf478dc6d356f,bridges_affected,idn.13.1376,2024-01-01,2024-12-31,annual,0,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1376; source_geography_name=KOTA PAYAKUMBUH; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_bc27e9f122513f83aa359b76,bridges_affected,idn.13.1377,2024-01-01,2024-12-31,annual,0,facilities,observed,bpbdprov_5c1e682a7d4d01cc5be8940e,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1377; source_geography_name=KOTA PARIAMAN; source_column=Jembatan; missing_values_inferred=false
bpbdimpactobs_be6fed809569b1aa98564dce,deaths,idn.13.1301,2024-01-01,2024-12-31,annual,0,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1301; source_geography_name=KABUPATEN KEPULAUAN MENTAWAI; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_55831771d9bf1875d980c147,deaths,idn.13.1302,2024-01-01,2024-12-31,annual,25,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1302; source_geography_name=KABUPATEN PESISIR SELATAN; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_58bf89aab337bdcdd23cb922,deaths,idn.13.1303,2024-01-01,2024-12-31,annual,13,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1303; source_geography_name=KABUPATEN SOLOK; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_e2242a094111cae00d1493d7,deaths,idn.13.1304,2024-01-01,2024-12-31,annual,0,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1304; source_geography_name=KABUPATEN SIJUNJUNG; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_c7dfa05ebed537f6faa2deee,deaths,idn.13.1305,2024-01-01,2024-12-31,annual,33,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1305; source_geography_name=KABUPATEN TANAH DATAR; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_d63b1afe5b1be18ef293c977,deaths,idn.13.1306,2024-01-01,2024-12-31,annual,6,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1306; source_geography_name=KABUPATEN PADANG PARIAMAN; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_034cc7ca57456603485d1eba,deaths,idn.13.1307,2024-01-01,2024-12-31,annual,27,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1307; source_geography_name=KABUPATEN AGAM; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_272f45a4438585300ca9dadf,deaths,idn.13.1308,2024-01-01,2024-12-31,annual,2,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1308; source_geography_name=KABUPATEN LIMA PULUH KOTA; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_8cf3d45859290bf2bf3d1c7b,deaths,idn.13.1309,2024-01-01,2024-12-31,annual,0,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1309; source_geography_name=KABUPATEN PASAMAN; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_7abacf76756878a852369f2e,deaths,idn.13.1310,2024-01-01,2024-12-31,annual,0,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1310; source_geography_name=KABUPATEN SOLOK SELATAN; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_1a711615e67b92edc7839aaf,deaths,idn.13.1311,2024-01-01,2024-12-31,annual,3,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1311; source_geography_name=KABUPATEN DHARMASRAYA; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_fecd420f376dc8ce8f86690c,deaths,idn.13.1312,2024-01-01,2024-12-31,annual,1,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1312; source_geography_name=KABUPATEN PASAMAN BARAT; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_4245956420c65d1b798f8823,deaths,idn.13.1371,2024-01-01,2024-12-31,annual,2,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1371; source_geography_name=KOTA PADANG; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_ddebe1b9ec536e273cd93c4e,deaths,idn.13.1372,2024-01-01,2024-12-31,annual,0,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1372; source_geography_name=KOTA SOLOK; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_31f9c371ec052e602330afe0,deaths,idn.13.1373,2024-01-01,2024-12-31,annual,0,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1373; source_geography_name=KOTA SAWAHLUNTO; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_9f4933a23cc5aabc50b95504,deaths,idn.13.1374,2024-01-01,2024-12-31,annual,2,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1374; source_geography_name=KOTA PADANG PANJANG; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_4a14365a3a857b346901ba9c,deaths,idn.13.1375,2024-01-01,2024-12-31,annual,0,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1375; source_geography_name=KOTA BUKITTINGGI; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_d041b172f49751b4de450375,deaths,idn.13.1376,2024-01-01,2024-12-31,annual,0,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1376; source_geography_name=KOTA PAYAKUMBUH; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_4194ae81d9ed421fb7d63026,deaths,idn.13.1377,2024-01-01,2024-12-31,annual,0,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1377; source_geography_name=KOTA PARIAMAN; source_column=Meninggal; missing_values_inferred=false
bpbdimpactobs_a054fdb9fab25fe20419259f,displaced_people,idn.13.1301,2024-01-01,2024-12-31,annual,6,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1301; source_geography_name=KABUPATEN KEPULAUAN MENTAWAI; source_column=Mengungsi; missing_values_inferred=false
bpbdimpactobs_7ebda041877108c91ccd6cbf,displaced_people,idn.13.1302,2024-01-01,2024-12-31,annual,72419,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1302; source_geography_name=KABUPATEN PESISIR SELATAN; source_column=Mengungsi; missing_values_inferred=false
bpbdimpactobs_7d67c7b3b89d45622865e2a5,displaced_people,idn.13.1303,2024-01-01,2024-12-31,annual,885,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1303; source_geography_name=KABUPATEN SOLOK; source_column=Mengungsi; missing_values_inferred=false
bpbdimpactobs_064f990f9c883fe8a3a1409d,displaced_people,idn.13.1304,2024-01-01,2024-12-31,annual,181,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1304; source_geography_name=KABUPATEN SIJUNJUNG; source_column=Mengungsi; missing_values_inferred=false
bpbdimpactobs_b9edbbfef52e0238158f092b,displaced_people,idn.13.1305,2024-01-01,2024-12-31,annual,904,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1305; source_geography_name=KABUPATEN TANAH DATAR; source_column=Mengungsi; missing_values_inferred=false
bpbdimpactobs_76b60c8fc23ee57ca634f3fc,displaced_people,idn.13.1306,2024-01-01,2024-12-31,annual,0,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1306; source_geography_name=KABUPATEN PADANG PARIAMAN; source_column=Mengungsi; missing_values_inferred=false
bpbdimpactobs_0a29126112c26dccbcbcf645,displaced_people,idn.13.1307,2024-01-01,2024-12-31,annual,1320,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1307; source_geography_name=KABUPATEN AGAM; source_column=Mengungsi; missing_values_inferred=false
bpbdimpactobs_29ef9f3aec61fa3e5425029d,displaced_people,idn.13.1308,2024-01-01,2024-12-31,annual,0,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1308; source_geography_name=KABUPATEN LIMA PULUH KOTA; source_column=Mengungsi; missing_values_inferred=false
bpbdimpactobs_21a47f053c6f0222ce682083,displaced_people,idn.13.1309,2024-01-01,2024-12-31,annual,0,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1309; source_geography_name=KABUPATEN PASAMAN; source_column=Mengungsi; missing_values_inferred=false
bpbdimpactobs_18a69bfc225526b56a7b5ccb,displaced_people,idn.13.1310,2024-01-01,2024-12-31,annual,284,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1310; source_geography_name=KABUPATEN SOLOK SELATAN; source_column=Mengungsi; missing_values_inferred=false
bpbdimpactobs_ba36e0f6877c8954b925d110,displaced_people,idn.13.1311,2024-01-01,2024-12-31,annual,3676,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1311; source_geography_name=KABUPATEN DHARMASRAYA; source_column=Mengungsi; missing_values_inferred=false
bpbdimpactobs_9d13a6e9060b66704977dc7c,displaced_people,idn.13.1312,2024-01-01,2024-12-31,annual,446,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1312; source_geography_name=KABUPATEN PASAMAN BARAT; source_column=Mengungsi; missing_values_inferred=false
bpbdimpactobs_c67849c8a965ba3447255cca,displaced_people,idn.13.1371,2024-01-01,2024-12-31,annual,0,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1371; source_geography_name=KOTA PADANG; source_column=Mengungsi; missing_values_inferred=false
bpbdimpactobs_e381db15065e69ee4a3b05da,displaced_people,idn.13.1372,2024-01-01,2024-12-31,annual,9,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1372; source_geography_name=KOTA SOLOK; source_column=Mengungsi; missing_values_inferred=false
bpbdimpactobs_323a444debd9e1b51e0ed6b8,displaced_people,idn.13.1373,2024-01-01,2024-12-31,annual,0,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1373; source_geography_name=KOTA SAWAHLUNTO; source_column=Mengungsi; missing_values_inferred=false
bpbdimpactobs_ae46aacb32835a823eb92bd2,displaced_people,idn.13.1374,2024-01-01,2024-12-31,annual,0,people,observed,bpbdprov_4698d57b104a9dc21a24906c,false,,BPBD/Pusdalops 2024 published table,,source_geography_code=1374; source_geography_name=KOTA PADANG PANJANG; source_column=Mengungsi; missing_values_inferred=false
