indicator_id,source_artifact,present_cells,total_possible_cells,coverage_rate,missing_cells,first_year,last_year,years_present_count,years_present,exact_19_geography_year_count,exact_19_geography_years,coverage_by_year_json,units,claim_types,comparable_values,methodology_versions,price_bases,reference_period_patterns
expected_years_schooling,bps_canonical_panel,152,152,1.00000000,0,2018,2025,8,2018|2019|2020|2021|2022|2023|2024|2025,8,2018|2019|2020|2021|2022|2023|2024|2025,"{""2018"":19,""2019"":19,""2020"":19,""2021"":19,""2022"":19,""2023"":19,""2024"":19,""2025"":19}",years,observed,true,BPS HDI new method; Susenas March,,march_reference
mean_years_schooling,bps_canonical_panel,152,152,1.00000000,0,2018,2025,8,2018|2019|2020|2021|2022|2023|2024|2025,8,2018|2019|2020|2021|2022|2023|2024|2025,"{""2018"":19,""2019"":19,""2020"":19,""2021"":19,""2022"":19,""2023"":19,""2024"":19,""2025"":19}",years,observed,true,BPS HDI new method; Susenas March,,march_reference
life_expectancy,bps_canonical_panel,114,152,0.75000000,38,2020,2025,6,2020|2021|2022|2023|2024|2025,6,2020|2021|2022|2023|2024|2025,"{""2018"":0,""2019"":0,""2020"":19,""2021"":19,""2022"":19,""2023"":19,""2024"":19,""2025"":19}",years,observed,true,LF-SP2020 based UHH,,calendar_year
labor_force_participation,bps_canonical_panel,152,152,1.00000000,0,2018,2025,8,2018|2019|2020|2021|2022|2023|2024|2025,8,2018|2019|2020|2021|2022|2023|2024|2025,"{""2018"":19,""2019"":19,""2020"":19,""2021"":19,""2022"":19,""2023"":19,""2024"":19,""2025"":19}",percent,observed,blank_only,Sakernas August,,august_reference
unemployment_rate,bps_canonical_panel,152,152,1.00000000,0,2018,2025,8,2018|2019|2020|2021|2022|2023|2024|2025,8,2018|2019|2020|2021|2022|2023|2024|2025,"{""2018"":19,""2019"":19,""2020"":19,""2021"":19,""2022"":19,""2023"":19,""2024"":19,""2025"":19}",percent,observed,blank_only,Sakernas August,,august_reference
poverty_rate,bps_canonical_panel,152,152,1.00000000,0,2018,2025,8,2018|2019|2020|2021|2022|2023|2024|2025,8,2018|2019|2020|2021|2022|2023|2024|2025,"{""2018"":19,""2019"":19,""2020"":19,""2021"":19,""2022"":19,""2023"":19,""2024"":19,""2025"":19}",percent,observed,true,Susenas March,,march_reference
real_grdp_growth,bps_canonical_panel,152,152,1.00000000,0,2018,2025,8,2018|2019|2020|2021|2022|2023|2024|2025,8,2018|2019|2020|2021|2022|2023|2024|2025,"{""2018"":19,""2019"":19,""2020"":19,""2021"":19,""2022"":19,""2023"":19,""2024"":19,""2025"":19}",percent,observed,true,ADHK 2010,constant_2010,calendar_year
agriculture_share_grdp,bps_expansion_canonical,114,152,0.75000000,38,2018,2023,6,2018|2019|2020|2021|2022|2023,6,2018|2019|2020|2021|2022|2023,"{""2018"":19,""2019"":19,""2020"":19,""2021"":19,""2022"":19,""2023"":19,""2024"":0,""2025"":0}",percent,derived,true,GRDP series 2010 ADHB,current_prices_series_2010,calendar_year
manufacturing_share_grdp,bps_expansion_canonical,114,152,0.75000000,38,2018,2023,6,2018|2019|2020|2021|2022|2023,6,2018|2019|2020|2021|2022|2023,"{""2018"":19,""2019"":19,""2020"":19,""2021"":19,""2022"":19,""2023"":19,""2024"":0,""2025"":0}",percent,derived,true,GRDP series 2010 ADHB,current_prices_series_2010,calendar_year
rice_yield,bps_expansion_canonical,152,152,1.00000000,0,2018,2025,8,2018|2019|2020|2021|2022|2023|2024|2025,8,2018|2019|2020|2021|2022|2023|2024|2025,"{""2018"":19,""2019"":19,""2020"":19,""2021"":19,""2022"":19,""2023"":19,""2024"":19,""2025"":19}",tonnes_per_hectare,derived,true,KSA,,calendar_year
underemployment_rate,bps_expansion_canonical,133,152,0.87500000,19,2018,2024,7,2018|2019|2020|2021|2022|2023|2024,7,2018|2019|2020|2021|2022|2023|2024,"{""2018"":19,""2019"":19,""2020"":19,""2021"":19,""2022"":19,""2023"":19,""2024"":19,""2025"":0}",percent,observed,blank_only,August Sakernas,,august_reference
population_total,bps_expansion_canonical,19,152,0.12500000,133,2020,2020,1,2020,1,2020,"{""2018"":0,""2019"":0,""2020"":19,""2021"":0,""2022"":0,""2023"":0,""2024"":0,""2025"":0}",persons,observed,true,Sensus Penduduk 2020,,september_reference
annual_rainfall,chirps_annual_rainfall,152,152,1.00000000,0,2018,2025,8,2018|2019|2020|2021|2022|2023|2024|2025,8,2018|2019|2020|2021|2022|2023|2024|2025,"{""2018"":19,""2019"":19,""2020"":19,""2021"":19,""2022"":19,""2023"":19,""2024"":19,""2025"":19}",millimetres,model_estimate,true,chirps_v3_final_monthly_big_june_2026_fixed_boundary_v1,,calendar_year
flood_events,bnpb_disaster_canonical,19,152,0.12500000,133,2024,2024,1,2024,1,2024,"{""2018"":0,""2019"":0,""2020"":0,""2021"":0,""2022"":0,""2023"":0,""2024"":19,""2025"":0}",count,observed,blank_only,BNPB/DIBI 2024 event classification,,calendar_year
landslide_events,bnpb_disaster_canonical,19,152,0.12500000,133,2024,2024,1,2024,1,2024,"{""2018"":0,""2019"":0,""2020"":0,""2021"":0,""2022"":0,""2023"":0,""2024"":19,""2025"":0}",count,observed,blank_only,BNPB/DIBI 2024 event classification,,calendar_year
